date,title,source,contents,link
2022.06.23.,올해 경기북부 중기인대회 선일금고제작 김영숙 대표 대통령상 등 유공 50명 ...,기호일보,대통령표창을 수상한 선일금고제작 김영숙 대표(파주시)는 매년 1천만 달러 이상 수출을 달성하며 해당 산업과 지역사회 발전에 기여한 공로를 인정받았다. 선일금고제작은 세계 최고 수준의 금고 제작 전문업체로 IoT...,http://www.kihoilbo.co.kr/news/articleView.html?idxno=985072
2021.08.23.,MBN[토요포커스] 김영숙 선일금고제작 대표 “발상의 전환으로 재도약하다”,MBN,"MBN[토요포커스] 김영숙 선일금고제작 대표 “발상의 전환으로 재도약하다” - 금고, '검은돈 은닉처' 아닌 '소중한 물품 보관소' - 영화 '도둑들' 속 금고, 영화 제작진과 함께 3개월 거쳐 제작 - 국내 금고 제작 후 화재실험...",http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=4580407
2022.06.24.,2022 경기북부중소기업인대회 개최,중소기업뉴스,"이날, 현장에서 대통령 표창을 수상한 ① 선일금고제작 김영숙 대표(파주시)는 세계 최고 수준의 금고제작 전문업체로서 IOT 기술을 금고에 접목하는 등 다수의 지적재산권과 산업재산권을 보유한 기술 선도기업으로...",http://www.kbiznews.co.kr/news/articleView.html?idxno=91525
2021.12.01.,"목원대 학생들, 특허청 'D2B 디자인페어' 금상·은상",굿모닝충청,박지우 학생은 현재 선일금고제작㈜와 라이센스 계약 체결을 진행하고 있다. 은상(디자인지식재산권협회장상)을 받은 허준경 학생은 '영유아 촉각 장난감 토이치(Toych)'를 선보였다. 토이치는 장난감을 뜻하는 영어...,http://www.goodmorningcc.com/news/articleView.html?idxno=260968
2021.11.01.,대·중소 상생형 스마트공장 현주소 한눈에,중소기업뉴스,"모기업과 부품을 공급하는 협력회사까지 공급망(Supply Chain) 동반 혁신을 이룬 제품을 전시하는 패밀리혁신존에는 오토스윙(의료용 고글), SBB테크(로봇감속기), 오토일렉스(인큐베이터), 선일금고제작(사무·가정용 금고)...",http://www.kbiznews.co.kr/news/articleView.html?idxno=88181
2021.11.11.,"인천지방국세청, '글로벌 강소기업 초청 세정 간담회 개최",경기일보,"이날 간담회에는 올해 글로벌 강소기업으로 뽑힌 극동전자정밀㈜, 대봉엘에스㈜, 선일금고제작, ㈜성일기공, ㈜스타메드, 신풍금속㈜, ㈜인선모터스, ㈜제이오, ㈜카운텍 등 9개 기업의 대표이사 등이 참석했다....",http://www.kyeonggi.com/news/articleView.html?idxno=2388651
2021.10.27.,"""중기부-삼성이 함께 만든 스마트공장 보러오세요""",뉴시스,"공급망 동반혁신을 이룬 제품을 전시하는 패밀리혁신존에는 오토스윙(의료용 고글), SBB테크(로봇감속기), 오토일렉스(인큐베이터), 선일금고제작(사무·가정용 금고), 디에이치글로벌(냉동고·제습기) 등이 참여한다....",http://www.newsis.com/view/?id=NISX20211027_0001629315&cID=13001&pID=13000
2021.10.27.,"'백신 주사기부터 김 부각까지 한눈에'…삼성전자, 2021 스마트비즈엑스포 개...",뷰어스,"▲코로나19 극복을 위한 K방역 보건용품 15개사(풍림파마텍, SD바이오센서, 코젠바이오텍, 솔젠트 등) ▲협력회사와 동반 혁신을 추진한 패밀리혁신 5개사(오토스윙, SBB테크, 오토일렉스, 선일금고제작, DH글로벌)...",http://theviewers.co.kr/View.aspx?No=2091618
2021.10.28.,삼성전자 '2021 스마트비즈엑스포' 개최,여성소비자신문,"코로나 극복을 위한 K방역 보건용품 15개사(풍림파마텍, SD바이오센서, 코젠바이오텍, 솔젠트 등) 협력회사와 동반 혁신을 추진한 패밀리혁신 5개사(오토스윙, SBB테크, 오토일렉스, 선일금고제작, DH글로벌 등) 중소기업의...",http://www.wsobi.com/news/articleView.html?idxno=143416
2021.10.15.,"한국마케팅협회, 2021 제9회 대한민국브랜드대상 개최",시선뉴스,"누구나 갖고 싶은 금고 디자인 개발로 1가구 1금고 시대를 선도하는 '선일금고제작'은 디자인경영 부문에서, 배달·포장 전문 매장으로 코로나 시대에 새로운 비즈니스모델을 제시한 'BBQ Smart Kitchen(제너시스비비큐)'과...",http://www.sisunnews.co.kr/news/articleView.html?idxno=149125
